Date,CO2
1974-07-31,331.35
1974-08-31,329.58
1974-09-30,327.58
1974-10-31,327.55
1974-11-30,328.56
1974-12-31,329.73
1975-01-31,330.45
1975-02-28,330.98
1975-03-31,331.63
1975-04-30,332.88
1975-05-31,333.63
1975-06-30,333.53
1975-07-31,331.9
1975-08-31,330.08
1975-09-30,328.59
1975-10-31,328.31
1975-11-30,329.44
1975-12-31,330.64
1976-01-31,331.62
1976-02-29,332.45
1976-03-31,333.36
1976-04-30,334.46
1976-05-31,334.84
1976-06-30,334.29
1976-07-31,333.04
1976-08-31,330.88
1976-09-30,329.23
1976-10-31,328.83
1976-11-30,330.18
1976-12-31,331.5
1977-01-31,332.8
1977-02-28,333.22
1977-03-31,334.54
1977-04-30,335.82
1977-05-31,336.45
1977-06-30,335.97
1977-07-31,334.65
1977-08-31,332.4
1977-09-30,331.28
1977-10-31,330.73
1977-11-30,332.05
1977-12-31,333.54
1978-01-31,334.65
1978-02-28,335.06
1978-03-31,336.32
1978-04-30,337.39
1978-05-31,337.66
1978-06-30,337.56
1978-07-31,336.24
1978-08-31,334.39
1978-09-30,332.43
1978-10-31,332.22
1978-11-30,333.61
1978-12-31,334.78
1979-01-31,335.88
1979-02-28,336.43
1979-03-31,337.61
1979-04-30,338.53
1979-05-31,339.06
1979-06-30,338.92
1979-07-31,337.39
1979-08-31,335.72
1979-09-30,333.64
1979-10-31,333.65
1979-11-30,335.07
1979-12-31,336.53
1980-01-31,337.82
1980-02-29,338.19
1980-03-31,339.89
1980-04-30,340.56
1980-05-31,341.22
1980-06-30,340.92
1980-07-31,339.26
1980-08-31,337.27
1980-09-30,335.66
1980-10-31,335.54
1980-11-30,336.71
1980-12-31,337.79
1981-01-31,338.79
1981-02-28,340.06
1981-03-31,340.93
1981-04-30,342.02
1981-05-31,342.65
1981-06-30,341.8
1981-07-31,340.01
1981-08-31,337.94
1981-09-30,336.17
1981-10-31,336.28
1981-11-30,337.76
1981-12-31,339.05
1982-01-31,340.18
1982-02-28,341.04
1982-03-31,342.16
1982-04-30,343.01
1982-05-31,343.64
1982-06-30,342.91
1982-07-31,341.72
1982-08-31,339.52
1982-09-30,337.75
1982-10-31,337.68
1982-11-30,339.14
1982-12-31,340.37
1983-01-31,341.32
1983-02-28,342.45
1983-03-31,343.05
1983-04-30,344.91
1983-05-31,345.77
1983-06-30,345.3
1983-07-31,343.98
1983-08-31,342.41
1983-09-30,339.89
1983-10-31,340.03
1983-11-30,341.19
1983-12-31,342.87
1984-01-31,343.74
1984-02-29,344.55
1984-03-31,345.28
1984-04-30,347.0
1984-05-31,347.37
1984-06-30,346.74
1984-07-31,345.36
1984-08-31,343.19
1984-09-30,340.97
1984-10-31,341.2
1984-11-30,342.76
1984-12-31,343.96
1985-01-31,344.82
1985-02-28,345.82
1985-03-31,347.24
1985-04-30,348.09
1985-05-31,348.66
1985-06-30,347.9
1985-07-31,346.27
1985-08-31,344.21
1985-09-30,342.88
1985-10-31,342.58
1985-11-30,343.99
1985-12-31,345.31
1986-01-31,345.98
1986-02-28,346.72
1986-03-31,347.63
1986-04-30,349.24
1986-05-31,349.83
1986-06-30,349.1
1986-07-31,347.52
1986-08-31,345.43
1986-09-30,344.48
1986-10-31,343.89
1986-11-30,345.29
1986-12-31,346.54
1987-01-31,347.66
1987-02-28,348.07
1987-03-31,349.12
1987-04-30,350.55
1987-05-31,351.34
1987-06-30,350.8
1987-07-31,349.1
1987-08-31,347.54
1987-09-30,346.2
1987-10-31,346.2
1987-11-30,347.44
1987-12-31,348.67
